lettuce
spinach
arugula
romaine
tomato
cherry tomato
roma tomato
red pepper
green pepper
yellow pepper
eggplant
potato
sweet potato
carrot
baby carrot
beet
parsnip
radish
onion
red onion
white onion
scallion
shallot
leek
fennel
squash
spaghetti squash
acorn squash
zucchini
summer squash
cauliflower
broccoli
corn
corn on the cob
basil
mint
rosemary
parsley
cilantro
sage
thyme
oregano
garlic
turnip
mushroom
