mayonnaise
ketchup
peanut butter
almond butter
jam
soy sauce
curry sauce
mustard
yellow mustard
dijon mustard
vinegar
balsamic vinegar
white wine vinegar
red wine vinegar
olive oil
extra virgin olive oil
avocado oil
coconut oil
